entity              ,category            ,start       ,end         ,start_sec,end_sec,confidence,id
wildlife            ,animal              ,00:00:36.600,00:00:49.560,36.6     ,49.56  ,0.9737766 ,MGrLtKlC5Sc
wildlife            ,animal              ,00:00:49.600,00:00:56.760,49.6     ,56.76  ,0.8221599 ,MGrLtKlC5Sc
wildlife            ,animal              ,00:00:56.800,00:00:59.840,56.8     ,59.84  ,0.97124124,MGrLtKlC5Sc
wildlife            ,animal              ,00:01:08.080,00:01:10.680,68.08    ,70.68  ,0.9737766 ,MGrLtKlC5Sc
wildlife            ,animal              ,00:01:10.720,00:01:14.720,70.72    ,74.72  ,0.9737766 ,MGrLtKlC5Sc
wildlife            ,animal              ,00:01:33.640,00:01:37.120,93.64    ,97.12  ,0.9587969 ,MGrLtKlC5Sc
wildlife            ,animal              ,00:01:47.280,00:01:49.040,107.28   ,109.04 ,0.91554815,MGrLtKlC5Sc
wildlife            ,animal              ,00:01:49.080,00:01:50.720,109.08   ,110.72 ,0.9595581 ,MGrLtKlC5Sc
wildlife            ,animal              ,00:01:50.760,00:01:53.800,110.76   ,113.8  ,0.9705433 ,MGrLtKlC5Sc
rural area          ,geographical feature,00:01:41.560,00:01:47.240,101.56   ,107.24 ,0.46471435,MGrLtKlC5Sc
television presenter,person              ,00:00:00.000,00:00:27.160,0.0      ,27.16  ,0.85594237,MGrLtKlC5Sc
sign                ,n/a                 ,00:01:21.160,00:01:25.960,81.16    ,85.96  ,0.39836252,MGrLtKlC5Sc
zoo                 ,n/a                 ,00:00:56.800,00:00:59.840,56.8     ,59.84  ,0.55578506,MGrLtKlC5Sc
zoo                 ,n/a                 ,00:01:47.280,00:01:49.040,107.28   ,109.04 ,0.85844237,MGrLtKlC5Sc
wilderness          ,geographical feature,00:01:41.560,00:01:47.240,101.56   ,107.24 ,0.58907765,MGrLtKlC5Sc
billboard           ,advertising         ,00:01:21.160,00:01:25.960,81.16    ,85.96  ,0.30740932,MGrLtKlC5Sc
lawn                ,n/a                 ,00:00:59.880,00:01:01.440,59.88    ,61.44  ,0.46426567,MGrLtKlC5Sc
journalist          ,professional        ,00:00:00.000,00:00:27.160,0.0      ,27.16  ,0.92147845,MGrLtKlC5Sc
television program  ,n/a                 ,00:00:00.000,00:00:27.160,0.0      ,27.16  ,0.510348  ,MGrLtKlC5Sc
driving             ,n/a                 ,00:01:29.480,00:01:33.600,89.48    ,93.6   ,0.31203908,MGrLtKlC5Sc
windshield          ,"glass,window"      ,00:01:29.480,00:01:33.600,89.48    ,93.6   ,0.33434615,MGrLtKlC5Sc
advertising         ,n/a                 ,00:01:21.160,00:01:25.960,81.16    ,85.96  ,0.46352646,MGrLtKlC5Sc
advertising         ,n/a                 ,00:01:26.000,00:01:29.440,86.0     ,89.44  ,0.42859328,MGrLtKlC5Sc
ecosystem           ,geographical feature,00:01:41.560,00:01:47.240,101.56   ,107.24 ,0.69889176,MGrLtKlC5Sc
ecosystem           ,geographical feature,00:01:49.080,00:01:50.720,109.08   ,110.72 ,0.34331036,MGrLtKlC5Sc
