entity               ,category              ,start       ,end         ,start_sec,end_sec,confidence,id
infrastructure       ,n/a                   ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.5295303 ,eIhGAa6PW98
infrastructure       ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.5115688 ,eIhGAa6PW98
infrastructure       ,n/a                   ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.3066565 ,eIhGAa6PW98
suburb               ,geographical feature  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.4300886 ,eIhGAa6PW98
signaling device     ,weak entity           ,00:00:45.120,00:00:49.080,45.12    ,49.08  ,0.347867  ,eIhGAa6PW98
car                  ,vehicle               ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.4275337 ,eIhGAa6PW98
car                  ,vehicle               ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.8620937 ,eIhGAa6PW98
traffic              ,n/a                   ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.5719731 ,eIhGAa6PW98
traffic              ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.7566187 ,eIhGAa6PW98
traffic              ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.47538114,eIhGAa6PW98
traffic              ,n/a                   ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.327469  ,eIhGAa6PW98
night                ,n/a                   ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.38950476,eIhGAa6PW98
geological phenomenon,n/a                   ,00:01:23.920,00:01:28.600,83.92    ,88.6   ,0.48797897,eIhGAa6PW98
commercial building  ,building              ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.8438811 ,eIhGAa6PW98
flood                ,disaster              ,00:01:23.920,00:01:28.600,83.92    ,88.6   ,0.42051587,eIhGAa6PW98
tourist attraction   ,location              ,00:01:10.520,00:01:14.040,70.52    ,74.04  ,0.4914461 ,eIhGAa6PW98
town                 ,geographical feature  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.54939765,eIhGAa6PW98
town                 ,geographical feature  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.45371258,eIhGAa6PW98
street               ,road                  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.73337024,eIhGAa6PW98
street               ,road                  ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.9104194 ,eIhGAa6PW98
street               ,road                  ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.9104194 ,eIhGAa6PW98
street               ,road                  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.9472787 ,eIhGAa6PW98
street               ,road                  ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.9472787 ,eIhGAa6PW98
rain                 ,weather               ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.44005394,eIhGAa6PW98
rain                 ,weather               ,00:00:45.120,00:00:49.080,45.12    ,49.08  ,0.62956077,eIhGAa6PW98
rain                 ,weather               ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.8306949 ,eIhGAa6PW98
metropolitan area    ,city                  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.7176239 ,eIhGAa6PW98
metropolitan area    ,city                  ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.66684866,eIhGAa6PW98
metropolitan area    ,city                  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.45637116,eIhGAa6PW98
metropolitan area    ,city                  ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.71163875,eIhGAa6PW98
public space         ,city                  ,00:01:06.760,00:01:07.840,66.76    ,67.84  ,0.5402508 ,eIhGAa6PW98
news                 ,n/a                   ,00:00:00.000,00:00:21.120,0.0      ,21.12  ,0.6729061 ,eIhGAa6PW98
news                 ,n/a                   ,00:02:51.480,00:02:57.040,171.48   ,177.04 ,0.7556554 ,eIhGAa6PW98
news                 ,n/a                   ,00:03:32.280,00:03:34.520,212.28   ,214.52 ,0.6729061 ,eIhGAa6PW98
parking              ,person                ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.7994517 ,eIhGAa6PW98
lane                 ,road                  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.5684215 ,eIhGAa6PW98
lane                 ,road                  ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.7197181 ,eIhGAa6PW98
lane                 ,road                  ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.5115885 ,eIhGAa6PW98
lane                 ,road                  ,00:00:57.320,00:01:01.440,57.32    ,61.44  ,0.46259752,eIhGAa6PW98
television presenter ,person                ,00:00:00.000,00:00:21.120,0.0      ,21.12  ,0.6883493 ,eIhGAa6PW98
transport            ,n/a                   ,00:00:49.120,00:00:53.080,49.12    ,53.08  ,0.5715241 ,eIhGAa6PW98
transport            ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.6097052 ,eIhGAa6PW98
grass family         ,plant                 ,00:02:42.080,00:02:43.720,162.08   ,163.72 ,0.4545055 ,eIhGAa6PW98
media                ,n/a                   ,00:02:51.480,00:02:57.040,171.48   ,177.04 ,0.48855835,eIhGAa6PW98
journalist           ,professional          ,00:00:00.000,00:00:21.120,0.0      ,21.12  ,0.48413646,eIhGAa6PW98
metropolis           ,city                  ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.5043646 ,eIhGAa6PW98
automotive exterior  ,n/a                   ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.31254598,eIhGAa6PW98
plant                ,n/a                   ,00:02:30.840,00:02:34.720,150.84   ,154.72 ,0.33135244,eIhGAa6PW98
plant                ,n/a                   ,00:02:42.080,00:02:43.720,162.08   ,163.72 ,0.815344  ,eIhGAa6PW98
parking lot          ,location              ,00:00:53.120,00:00:57.280,53.12    ,57.28  ,0.69402564,eIhGAa6PW98
neighbourhood        ,geographical feature  ,00:00:40.680,00:00:45.080,40.68    ,45.08  ,0.82397187,eIhGAa6PW98
neighbourhood        ,geographical feature  ,00:01:17.920,00:01:23.880,77.92    ,83.88  ,0.783881  ,eIhGAa6PW98
