entity               ,category              ,start       ,end         ,duration,confidence,id
mode of transport    ,                      ,00:01:29.480,00:01:33.600,4.12    ,0.476     ,MGrLtKlC5Sc
animal               ,                      ,00:00:36.600,00:00:49.560,12.96   ,0.949     ,MGrLtKlC5Sc
animal               ,                      ,00:00:49.600,00:00:56.760,7.16    ,0.842     ,MGrLtKlC5Sc
animal               ,                      ,00:00:56.800,00:00:59.840,3.04    ,0.957     ,MGrLtKlC5Sc
animal               ,                      ,00:01:01.480,00:01:04.040,2.56    ,0.524     ,MGrLtKlC5Sc
animal               ,                      ,00:01:08.080,00:01:10.680,2.6     ,0.974     ,MGrLtKlC5Sc
animal               ,                      ,00:01:10.720,00:01:14.720,4.0     ,0.957     ,MGrLtKlC5Sc
animal               ,                      ,00:01:26.000,00:01:29.440,3.44    ,0.894     ,MGrLtKlC5Sc
animal               ,                      ,00:01:33.640,00:01:37.120,3.48    ,0.956     ,MGrLtKlC5Sc
animal               ,                      ,00:01:47.280,00:01:49.040,1.76    ,0.957     ,MGrLtKlC5Sc
animal               ,                      ,00:01:49.080,00:01:50.720,1.64    ,0.926     ,MGrLtKlC5Sc
animal               ,                      ,00:01:50.760,00:01:53.800,3.04    ,0.962     ,MGrLtKlC5Sc
road                 ,                      ,00:00:27.200,00:00:36.560,9.36    ,0.52      ,MGrLtKlC5Sc
road                 ,                      ,00:01:29.480,00:01:33.600,4.12    ,0.834     ,MGrLtKlC5Sc
newscaster           ,person                ,00:00:00.000,00:00:27.160,27.16   ,0.837     ,MGrLtKlC5Sc
terrestrial animal   ,animal                ,00:00:36.600,00:00:49.560,12.96   ,0.569     ,MGrLtKlC5Sc
terrestrial animal   ,animal                ,00:00:49.600,00:00:56.760,7.16    ,0.535     ,MGrLtKlC5Sc
terrestrial animal   ,animal                ,00:00:56.800,00:00:59.840,3.04    ,0.569     ,MGrLtKlC5Sc
terrestrial animal   ,animal                ,00:01:08.080,00:01:10.680,2.6     ,0.569     ,MGrLtKlC5Sc
terrestrial animal   ,animal                ,00:01:10.720,00:01:14.720,4.0     ,0.569     ,MGrLtKlC5Sc
terrestrial animal   ,animal                ,00:01:47.280,00:01:49.040,1.76    ,0.311     ,MGrLtKlC5Sc
terrestrial animal   ,animal                ,00:01:49.080,00:01:50.720,1.64    ,0.569     ,MGrLtKlC5Sc
terrestrial animal   ,animal                ,00:01:50.760,00:01:53.800,3.04    ,0.569     ,MGrLtKlC5Sc
television program   ,                      ,00:00:00.000,00:00:27.160,27.16   ,0.51      ,MGrLtKlC5Sc
grass                ,plant                 ,00:00:59.880,00:01:01.440,1.56    ,0.646     ,MGrLtKlC5Sc
grass                ,plant                 ,00:01:04.080,00:01:08.040,3.96    ,0.39      ,MGrLtKlC5Sc
car                  ,vehicle               ,00:01:29.480,00:01:33.600,4.12    ,0.731     ,MGrLtKlC5Sc
sign                 ,                      ,00:01:21.160,00:01:25.960,4.8     ,0.398     ,MGrLtKlC5Sc
cheetah              ,mammal                ,00:00:36.600,00:00:49.560,12.96   ,0.724     ,MGrLtKlC5Sc
cheetah              ,mammal                ,00:00:56.800,00:00:59.840,3.04    ,0.634     ,MGrLtKlC5Sc
cheetah              ,mammal                ,00:01:08.080,00:01:10.680,2.6     ,0.724     ,MGrLtKlC5Sc
cheetah              ,mammal                ,00:01:10.720,00:01:14.720,4.0     ,0.724     ,MGrLtKlC5Sc
cheetah              ,mammal                ,00:01:47.280,00:01:49.040,1.76    ,0.428     ,MGrLtKlC5Sc
cheetah              ,mammal                ,00:01:49.080,00:01:50.720,1.64    ,0.428     ,MGrLtKlC5Sc
cheetah              ,mammal                ,00:01:50.760,00:01:53.800,3.04    ,0.634     ,MGrLtKlC5Sc
nature               ,                      ,00:00:36.600,00:00:49.560,12.96   ,0.667     ,MGrLtKlC5Sc
nature               ,                      ,00:01:19.160,00:01:21.120,1.96    ,0.557     ,MGrLtKlC5Sc
nature               ,                      ,00:01:41.560,00:01:47.240,5.68    ,0.957     ,MGrLtKlC5Sc
highway              ,road                  ,00:01:29.480,00:01:33.600,4.12    ,0.645     ,MGrLtKlC5Sc
wind                 ,                      ,00:01:37.160,00:01:41.520,4.36    ,0.604     ,MGrLtKlC5Sc
cat                  ,pet                   ,00:01:08.080,00:01:10.680,2.6     ,0.578     ,MGrLtKlC5Sc
lawn                 ,                      ,00:00:59.880,00:01:01.440,1.56    ,0.464     ,MGrLtKlC5Sc
vegetation           ,                      ,00:01:41.560,00:01:47.240,5.68    ,0.783     ,MGrLtKlC5Sc
windshield           ,"glass,window"        ,00:01:29.480,00:01:33.600,4.12    ,0.334     ,MGrLtKlC5Sc
banner               ,advertising           ,00:01:21.160,00:01:25.960,4.8     ,0.548     ,MGrLtKlC5Sc
banner               ,advertising           ,00:01:26.000,00:01:29.440,3.44    ,0.485     ,MGrLtKlC5Sc
advertising          ,                      ,00:01:21.160,00:01:25.960,4.8     ,0.464     ,MGrLtKlC5Sc
advertising          ,                      ,00:01:26.000,00:01:29.440,3.44    ,0.429     ,MGrLtKlC5Sc
journalist           ,professional          ,00:00:00.000,00:00:27.160,27.16   ,0.921     ,MGrLtKlC5Sc
ecosystem            ,geographical feature  ,00:01:41.560,00:01:47.240,5.68    ,0.699     ,MGrLtKlC5Sc
ecosystem            ,geographical feature  ,00:01:49.080,00:01:50.720,1.64    ,0.343     ,MGrLtKlC5Sc
news                 ,                      ,00:00:00.000,00:00:27.160,27.16   ,0.442     ,MGrLtKlC5Sc
television presenter ,person                ,00:00:00.000,00:00:27.160,27.16   ,0.856     ,MGrLtKlC5Sc
dashcam              ,                      ,00:01:29.480,00:01:33.600,4.12    ,0.622     ,MGrLtKlC5Sc
rural area           ,geographical feature  ,00:01:41.560,00:01:47.240,5.68    ,0.465     ,MGrLtKlC5Sc
wildlife             ,animal                ,00:00:36.600,00:00:49.560,12.96   ,0.974     ,MGrLtKlC5Sc
wildlife             ,animal                ,00:00:49.600,00:00:56.760,7.16    ,0.822     ,MGrLtKlC5Sc
wildlife             ,animal                ,00:00:56.800,00:00:59.840,3.04    ,0.971     ,MGrLtKlC5Sc
wildlife             ,animal                ,00:01:08.080,00:01:10.680,2.6     ,0.974     ,MGrLtKlC5Sc
wildlife             ,animal                ,00:01:10.720,00:01:14.720,4.0     ,0.974     ,MGrLtKlC5Sc
wildlife             ,animal                ,00:01:33.640,00:01:37.120,3.48    ,0.959     ,MGrLtKlC5Sc
wildlife             ,animal                ,00:01:47.280,00:01:49.040,1.76    ,0.916     ,MGrLtKlC5Sc
wildlife             ,animal                ,00:01:49.080,00:01:50.720,1.64    ,0.96      ,MGrLtKlC5Sc
wildlife             ,animal                ,00:01:50.760,00:01:53.800,3.04    ,0.971     ,MGrLtKlC5Sc
nature reserve       ,geographical feature  ,00:01:41.560,00:01:47.240,5.68    ,0.371     ,MGrLtKlC5Sc
lion                 ,mammal                ,00:01:47.280,00:01:49.040,1.76    ,0.315     ,MGrLtKlC5Sc
signage              ,                      ,00:01:21.160,00:01:25.960,4.8     ,0.498     ,MGrLtKlC5Sc
big cats             ,mammal                ,00:00:36.600,00:00:49.560,12.96   ,0.457     ,MGrLtKlC5Sc
grassland            ,geographical feature  ,00:01:08.080,00:01:10.680,2.6     ,0.432     ,MGrLtKlC5Sc
grassland            ,geographical feature  ,00:01:41.560,00:01:47.240,5.68    ,0.709     ,MGrLtKlC5Sc
leopard              ,mammal                ,00:00:36.600,00:00:49.560,12.96   ,0.715     ,MGrLtKlC5Sc
leopard              ,mammal                ,00:00:56.800,00:00:59.840,3.04    ,0.609     ,MGrLtKlC5Sc
leopard              ,mammal                ,00:01:08.080,00:01:10.680,2.6     ,0.609     ,MGrLtKlC5Sc
leopard              ,mammal                ,00:01:10.720,00:01:14.720,4.0     ,0.646     ,MGrLtKlC5Sc
leopard              ,mammal                ,00:01:49.080,00:01:50.720,1.64    ,0.715     ,MGrLtKlC5Sc
leopard              ,mammal                ,00:01:50.760,00:01:53.800,3.04    ,0.609     ,MGrLtKlC5Sc
lane                 ,road                  ,00:01:29.480,00:01:33.600,4.12    ,0.512     ,MGrLtKlC5Sc
forest               ,geographical feature  ,00:01:41.560,00:01:47.240,5.68    ,0.706     ,MGrLtKlC5Sc
zoo                  ,                      ,00:00:56.800,00:00:59.840,3.04    ,0.556     ,MGrLtKlC5Sc
zoo                  ,                      ,00:01:47.280,00:01:49.040,1.76    ,0.858     ,MGrLtKlC5Sc
driving              ,                      ,00:01:29.480,00:01:33.600,4.12    ,0.312     ,MGrLtKlC5Sc
professional         ,person                ,00:00:00.000,00:00:27.160,27.16   ,0.306     ,MGrLtKlC5Sc
hill                 ,geographical feature  ,00:01:41.560,00:01:47.240,5.68    ,0.375     ,MGrLtKlC5Sc
plain                ,geographical feature  ,00:01:41.560,00:01:47.240,5.68    ,0.311     ,MGrLtKlC5Sc
billboard            ,advertising           ,00:01:21.160,00:01:25.960,4.8     ,0.307     ,MGrLtKlC5Sc
vehicle              ,                      ,00:00:27.200,00:00:36.560,9.36    ,0.46      ,MGrLtKlC5Sc
vehicle              ,                      ,00:01:29.480,00:01:33.600,4.12    ,0.968     ,MGrLtKlC5Sc
wilderness           ,geographical feature  ,00:01:41.560,00:01:47.240,5.68    ,0.589     ,MGrLtKlC5Sc
tree                 ,plant                 ,00:01:19.160,00:01:21.120,1.96    ,0.481     ,MGrLtKlC5Sc
tree                 ,plant                 ,00:01:41.560,00:01:47.240,5.68    ,0.697     ,MGrLtKlC5Sc
jaguar               ,mammal                ,00:00:36.600,00:00:49.560,12.96   ,0.452     ,MGrLtKlC5Sc
jaguar               ,mammal                ,00:00:56.800,00:00:59.840,3.04    ,0.368     ,MGrLtKlC5Sc
jaguar               ,mammal                ,00:01:08.080,00:01:10.680,2.6     ,0.368     ,MGrLtKlC5Sc
jaguar               ,mammal                ,00:01:10.720,00:01:14.720,4.0     ,0.368     ,MGrLtKlC5Sc
jaguar               ,mammal                ,00:01:49.080,00:01:50.720,1.64    ,0.448     ,MGrLtKlC5Sc
jaguar               ,mammal                ,00:01:50.760,00:01:53.800,3.04    ,0.368     ,MGrLtKlC5Sc
suburb               ,geographical feature  ,00:00:40.680,00:00:45.080,4.4     ,0.43      ,eIhGAa6PW98
car                  ,vehicle               ,00:00:49.120,00:00:53.080,3.96    ,0.428     ,eIhGAa6PW98
car                  ,vehicle               ,00:00:53.120,00:00:57.280,4.16    ,0.862     ,eIhGAa6PW98
night                ,                      ,00:00:57.320,00:01:01.440,4.12    ,0.39      ,eIhGAa6PW98
driving              ,                      ,00:00:53.120,00:00:57.280,4.16    ,0.359     ,eIhGAa6PW98
pedestrian crossing  ,road                  ,00:00:40.680,00:00:45.080,4.4     ,0.372     ,eIhGAa6PW98
pedestrian crossing  ,road                  ,00:01:06.760,00:01:07.840,1.08    ,0.767     ,eIhGAa6PW98
architecture         ,                      ,00:01:17.920,00:01:23.880,5.96    ,0.512     ,eIhGAa6PW98
highway              ,road                  ,00:00:49.120,00:00:53.080,3.96    ,0.359     ,eIhGAa6PW98
nature               ,                      ,00:01:23.920,00:01:28.600,4.68    ,0.557     ,eIhGAa6PW98
flood                ,disaster              ,00:01:23.920,00:01:28.600,4.68    ,0.421     ,eIhGAa6PW98
scaffolding          ,                      ,00:01:10.520,00:01:14.040,3.52    ,0.368     ,eIhGAa6PW98
wilderness           ,geographical feature  ,00:01:28.640,00:01:35.680,7.04    ,0.329     ,eIhGAa6PW98
newscaster           ,person                ,00:00:00.000,00:00:21.120,21.12   ,0.841     ,eIhGAa6PW98
family car           ,car                   ,00:00:53.120,00:00:57.280,4.16    ,0.344     ,eIhGAa6PW98
windshield           ,"glass,window"        ,00:00:53.120,00:00:57.280,4.16    ,0.334     ,eIhGAa6PW98
intersection         ,street                ,00:00:40.680,00:00:45.080,4.4     ,0.883     ,eIhGAa6PW98
intersection         ,street                ,00:00:45.120,00:00:49.080,3.96    ,0.593     ,eIhGAa6PW98
intersection         ,street                ,00:00:49.120,00:00:53.080,3.96    ,0.883     ,eIhGAa6PW98
intersection         ,street                ,00:01:06.760,00:01:07.840,1.08    ,0.473     ,eIhGAa6PW98
road                 ,                      ,00:00:40.680,00:00:45.080,4.4     ,0.758     ,eIhGAa6PW98
road                 ,                      ,00:00:49.120,00:00:53.080,3.96    ,0.842     ,eIhGAa6PW98
road                 ,                      ,00:00:53.120,00:00:57.280,4.16    ,0.834     ,eIhGAa6PW98
condominium          ,building              ,00:01:17.920,00:01:23.880,5.96    ,0.51      ,eIhGAa6PW98
television program   ,                      ,00:00:00.000,00:00:21.120,21.12   ,0.84      ,eIhGAa6PW98
weather              ,                      ,00:00:45.120,00:00:49.080,3.96    ,0.642     ,eIhGAa6PW98
tree                 ,plant                 ,00:02:30.840,00:02:34.720,3.88    ,0.508     ,eIhGAa6PW98
city car             ,car                   ,00:00:53.120,00:00:57.280,4.16    ,0.602     ,eIhGAa6PW98
