entity              ,left          ,top           ,right      ,bottom    ,time_seconds,time        ,id
person              ,0.18433423    ,0.105951615   ,0.73807824 ,0.9909827 ,0.0         ,00:00:00.000,MGrLtKlC5Sc
person              ,0.18437493    ,0.105556145   ,0.7375009  ,0.99027884,0.12        ,00:00:00.120,MGrLtKlC5Sc
person              ,0.18589413    ,0.10555474    ,0.7390192  ,0.99027705,0.24        ,00:00:00.240,MGrLtKlC5Sc
person              ,0.18672909    ,0.12066994    ,0.73939127 ,0.9890594 ,0.36        ,00:00:00.360,MGrLtKlC5Sc
person              ,0.18814486    ,0.12214242    ,0.74051136 ,0.98893213,0.48        ,00:00:00.480,MGrLtKlC5Sc
person              ,0.18912885    ,0.12220206    ,0.74147415 ,0.98887753,0.6         ,00:00:00.600,MGrLtKlC5Sc
person              ,0.18924592    ,0.11319987    ,0.74459517 ,0.99375635,0.72        ,00:00:00.720,MGrLtKlC5Sc
person              ,0.19056985    ,0.111101925   ,0.74603    ,0.99165756,0.84        ,00:00:00.840,MGrLtKlC5Sc
person              ,0.1916041     ,0.1074033     ,0.7470722  ,0.98795885,0.96        ,00:00:00.960,MGrLtKlC5Sc
person              ,0.1914732     ,0.086321674   ,0.7444236  ,1.0002189 ,1.08        ,00:00:01.080,MGrLtKlC5Sc
person              ,0.19111209    ,0.08141222    ,0.7434998  ,0.99658984,1.2         ,00:00:01.200,MGrLtKlC5Sc
person              ,0.19211611    ,0.077754214   ,0.74446297 ,0.99302477,1.32        ,00:00:01.320,MGrLtKlC5Sc
person              ,0.20693633    ,0.06812628    ,0.7378745  ,0.9983989 ,1.44        ,00:00:01.440,MGrLtKlC5Sc
person              ,0.21183184    ,0.065998584   ,0.74088454 ,0.99653375,1.56        ,00:00:01.560,MGrLtKlC5Sc
person              ,0.21526816    ,0.06453846    ,0.74418485 ,0.9950926 ,1.68        ,00:00:01.680,MGrLtKlC5Sc
person              ,0.21391927    ,0.056812156   ,0.7443041  ,0.9898929 ,1.8         ,00:00:01.800,MGrLtKlC5Sc
person              ,0.21317878    ,0.053808626   ,0.7436415  ,0.9858347 ,1.92        ,00:00:01.920,MGrLtKlC5Sc
person              ,0.2120391     ,0.05334292    ,0.74250746 ,0.9852932 ,2.04        ,00:00:02.040,MGrLtKlC5Sc
person              ,0.21550539    ,0.06804404    ,0.7332568  ,0.98172605,2.16        ,00:00:02.160,MGrLtKlC5Sc
person              ,0.21429619    ,0.07228809    ,0.7307985  ,0.9835828 ,2.28        ,00:00:02.280,MGrLtKlC5Sc
person              ,0.21353918    ,0.0747383     ,0.72995234 ,0.9858626 ,2.4         ,00:00:02.400,MGrLtKlC5Sc
person              ,0.21336621    ,0.07142713    ,0.73216534 ,0.9919063 ,2.52        ,00:00:02.520,MGrLtKlC5Sc
person              ,0.21322389    ,0.07422205    ,0.7319774  ,0.99502987,2.64        ,00:00:02.640,MGrLtKlC5Sc
person              ,0.21224134    ,0.07727291    ,0.7309916  ,0.9981044 ,2.76        ,00:00:02.760,MGrLtKlC5Sc
person              ,0.20681305    ,0.08405431    ,0.7339055  ,0.99930817,2.88        ,00:00:02.880,MGrLtKlC5Sc
person              ,0.20655896    ,0.086805865   ,0.7338847  ,1.0007925 ,3.0         ,00:00:03.000,MGrLtKlC5Sc
person              ,0.2066216     ,0.0875045     ,0.733964   ,1.0014004 ,3.12        ,00:00:03.120,MGrLtKlC5Sc
person              ,0.20119889    ,0.093222365   ,0.7339359  ,0.9987616 ,3.24        ,00:00:03.240,MGrLtKlC5Sc
person              ,0.19898438    ,0.09485715    ,0.73179144 ,0.9991221 ,3.36        ,00:00:03.360,MGrLtKlC5Sc
person              ,0.1975001     ,0.09707652    ,0.73031217 ,0.9999611 ,3.48        ,00:00:03.480,MGrLtKlC5Sc
person              ,0.1978261     ,0.091891706   ,0.7367274  ,1.0003828 ,3.6         ,00:00:03.600,MGrLtKlC5Sc
person              ,0.19932908    ,0.09003401    ,0.73838    ,0.9983787 ,3.72        ,00:00:03.720,MGrLtKlC5Sc
person              ,0.19967195    ,0.088955805   ,0.73873365 ,0.99729   ,3.84        ,00:00:03.840,MGrLtKlC5Sc
person              ,0.20138733    ,0.0936454     ,0.73186755 ,0.9928578 ,3.96        ,00:00:03.960,MGrLtKlC5Sc
person              ,0.19944765    ,0.09508306    ,0.7291919  ,0.9924478 ,4.08        ,00:00:04.080,MGrLtKlC5Sc
person              ,0.19828176    ,0.09553126    ,0.72797334 ,0.99276376,4.2         ,00:00:04.200,MGrLtKlC5Sc
person              ,0.19262706    ,0.09473591    ,0.7406144  ,0.9942748 ,4.32        ,00:00:04.320,MGrLtKlC5Sc
person              ,0.19481537    ,0.09563806    ,0.7439457  ,0.9943158 ,4.44        ,00:00:04.440,MGrLtKlC5Sc
person              ,0.19623362    ,0.09590136    ,0.745446   ,0.99451727,4.56        ,00:00:04.560,MGrLtKlC5Sc
person              ,0.18697993    ,0.08843059    ,0.747104   ,1.0002633 ,4.68        ,00:00:04.680,MGrLtKlC5Sc
person              ,0.184056      ,0.087679476   ,0.74493486 ,1.0001314 ,4.8         ,00:00:04.800,MGrLtKlC5Sc
person              ,0.18267183    ,0.08743675    ,0.74360514 ,0.9999333 ,4.92        ,00:00:04.920,MGrLtKlC5Sc
person              ,0.19133595    ,0.10465964    ,0.75323343 ,0.98747045,5.04        ,00:00:05.040,MGrLtKlC5Sc
person              ,0.19696277    ,0.10783495    ,0.75869423 ,0.9872608 ,5.16        ,00:00:05.160,MGrLtKlC5Sc
person              ,0.19952905    ,0.108634084   ,0.7612487  ,0.9878193 ,5.28        ,00:00:05.280,MGrLtKlC5Sc
person              ,0.1998288     ,0.08973329    ,0.7538299  ,0.9901379 ,5.4         ,00:00:05.400,MGrLtKlC5Sc
person              ,0.19748741    ,0.08451937    ,0.75067574 ,0.98583716,5.52        ,00:00:05.520,MGrLtKlC5Sc
person              ,0.19626445    ,0.082243666   ,0.749394   ,0.98362744,5.64        ,00:00:05.640,MGrLtKlC5Sc
person              ,0.1941918     ,0.09662336    ,0.7464149  ,0.9905008 ,5.76        ,00:00:05.760,MGrLtKlC5Sc
person              ,0.19287303    ,0.10329965    ,0.7444829  ,0.99641407,5.88        ,00:00:05.880,MGrLtKlC5Sc
person              ,0.19179446    ,0.10642748    ,0.74336034 ,0.9994873 ,6.0         ,00:00:06.000,MGrLtKlC5Sc
person              ,0.1922218     ,0.1034001     ,0.7425671  ,1.0007138 ,6.12        ,00:00:06.120,MGrLtKlC5Sc
person              ,0.19236879    ,0.1020953     ,0.7423936  ,0.9993241 ,6.24        ,00:00:06.240,MGrLtKlC5Sc
person              ,0.19253115    ,0.10099845    ,0.74253297 ,0.99822116,6.36        ,00:00:06.360,MGrLtKlC5Sc
person              ,0.19725874    ,0.08776009    ,0.74637365 ,0.99322355,6.48        ,00:00:06.480,MGrLtKlC5Sc
