word         ,start       ,end         ,start_sec,end_sec,confidence,id
In           ,00:00:00.000,00:00:00.100,0.0      ,0.1    ,0.9128386 ,MGrLtKlC5Sc
other        ,00:00:00.100,00:00:00.200,0.1      ,0.2    ,0.9128386 ,MGrLtKlC5Sc
"news,"      ,00:00:00.200,00:00:00.500,0.2      ,0.5    ,0.9128386 ,MGrLtKlC5Sc
a            ,00:00:00.500,00:00:00.600,0.5      ,0.6    ,0.9128386 ,MGrLtKlC5Sc
group        ,00:00:00.600,00:00:00.900,0.6      ,0.9    ,0.9128386 ,MGrLtKlC5Sc
of           ,00:00:00.900,00:00:01.100,0.9      ,1.1    ,0.9128386 ,MGrLtKlC5Sc
eight        ,00:00:01.100,00:00:01.500,1.1      ,1.5    ,0.9128386 ,MGrLtKlC5Sc
cheaters     ,00:00:01.500,00:00:02.000,1.5      ,2.0    ,0.9128386 ,MGrLtKlC5Sc
has          ,00:00:02.000,00:00:02.300,2.0      ,2.3    ,0.9128386 ,MGrLtKlC5Sc
been         ,00:00:02.300,00:00:02.500,2.3      ,2.5    ,0.9128386 ,MGrLtKlC5Sc
released     ,00:00:02.500,00:00:03.000,2.5      ,3.0    ,0.9128386 ,MGrLtKlC5Sc
into         ,00:00:03.000,00:00:03.200,3.0      ,3.2    ,0.9128386 ,MGrLtKlC5Sc
the          ,00:00:03.200,00:00:03.300,3.2      ,3.3    ,0.9128386 ,MGrLtKlC5Sc
wild         ,00:00:03.300,00:00:03.800,3.3      ,3.8    ,0.9128386 ,MGrLtKlC5Sc
in           ,00:00:03.800,00:00:03.900,3.8      ,3.9    ,0.9128386 ,MGrLtKlC5Sc
India        ,00:00:03.900,00:00:04.400,3.9      ,4.4    ,0.9128386 ,MGrLtKlC5Sc
70           ,00:00:04.800,00:00:05.200,4.8      ,5.2    ,0.9128386 ,MGrLtKlC5Sc
years.       ,00:00:05.200,00:00:05.600,5.2      ,5.6    ,0.9128386 ,MGrLtKlC5Sc
After        ,00:00:05.600,00:00:05.900,5.6      ,5.9    ,0.9128386 ,MGrLtKlC5Sc
the          ,00:00:05.900,00:00:06.000,5.9      ,6.0    ,0.9128386 ,MGrLtKlC5Sc
world's      ,00:00:06.000,00:00:06.300,6.0      ,6.3    ,0.9128386 ,MGrLtKlC5Sc
fastest      ,00:00:06.300,00:00:06.800,6.3      ,6.8    ,0.9128386 ,MGrLtKlC5Sc
land         ,00:00:06.800,00:00:07.000,6.8      ,7.0    ,0.9128386 ,MGrLtKlC5Sc
animal       ,00:00:07.000,00:00:07.300,7.0      ,7.3    ,0.9128386 ,MGrLtKlC5Sc
