word          ,start       ,end         ,start_sec,end_sec,confidence,id
Now           ,00:00:00.400,00:00:00.700,0.4      ,0.7    ,0.9128386 ,eIhGAa6PW98
typhoon       ,00:00:00.700,00:00:01.500,0.7      ,1.5    ,0.9128386 ,eIhGAa6PW98
non-adult     ,00:00:01.600,00:00:02.500,1.6      ,2.5    ,0.9128386 ,eIhGAa6PW98
has           ,00:00:02.500,00:00:02.900,2.5      ,2.9    ,0.9128386 ,eIhGAa6PW98
killed        ,00:00:02.900,00:00:03.300,2.9      ,3.3    ,0.9128386 ,eIhGAa6PW98
at            ,00:00:03.300,00:00:03.400,3.3      ,3.4    ,0.9128386 ,eIhGAa6PW98
least         ,00:00:03.400,00:00:03.800,3.4      ,3.8    ,0.9128386 ,eIhGAa6PW98
four          ,00:00:03.800,00:00:04.100,3.8      ,4.1    ,0.9128386 ,eIhGAa6PW98
people        ,00:00:04.100,00:00:04.400,4.1      ,4.4    ,0.9128386 ,eIhGAa6PW98
and           ,00:00:04.400,00:00:04.600,4.4      ,4.6    ,0.9128386 ,eIhGAa6PW98
injured       ,00:00:04.600,00:00:05.200,4.6      ,5.2    ,0.9128386 ,eIhGAa6PW98
more          ,00:00:05.300,00:00:05.500,5.3      ,5.5    ,0.9128386 ,eIhGAa6PW98
than          ,00:00:05.500,00:00:05.700,5.5      ,5.7    ,0.9128386 ,eIhGAa6PW98
80            ,00:00:05.700,00:00:06.200,5.7      ,6.2    ,0.9128386 ,eIhGAa6PW98
over          ,00:00:06.200,00:00:06.400,6.2      ,6.4    ,0.9128386 ,eIhGAa6PW98
the           ,00:00:06.400,00:00:06.500,6.4      ,6.5    ,0.9128386 ,eIhGAa6PW98
weekend.      ,00:00:06.500,00:00:07.200,6.5      ,7.2    ,0.9128386 ,eIhGAa6PW98
It's          ,00:00:07.200,00:00:07.400,7.2      ,7.4    ,0.9128386 ,eIhGAa6PW98
been          ,00:00:07.400,00:00:07.500,7.4      ,7.5    ,0.9128386 ,eIhGAa6PW98
downgraded    ,00:00:07.500,00:00:08.200,7.5      ,8.2    ,0.9128386 ,eIhGAa6PW98
at            ,00:00:08.200,00:00:08.300,8.2      ,8.3    ,0.9128386 ,eIhGAa6PW98
the           ,00:00:08.300,00:00:08.400,8.3      ,8.4    ,0.9128386 ,eIhGAa6PW98
moment        ,00:00:08.400,00:00:08.700,8.4      ,8.7    ,0.9128386 ,eIhGAa6PW98
to            ,00:00:08.700,00:00:08.800,8.7      ,8.8    ,0.9128386 ,eIhGAa6PW98
a             ,00:00:08.800,00:00:08.900,8.8      ,8.9    ,0.9128386 ,eIhGAa6PW98
cyclone.      ,00:00:08.900,00:00:09.700,8.9      ,9.7    ,0.9128386 ,eIhGAa6PW98
It            ,00:00:09.900,00:00:10.000,9.9      ,10.0   ,0.9128386 ,eIhGAa6PW98
crossed       ,00:00:10.000,00:00:10.600,10.0     ,10.6   ,0.9128386 ,eIhGAa6PW98
to            ,00:00:10.600,00:00:10.700,10.6     ,10.7   ,0.9128386 ,eIhGAa6PW98
the           ,00:00:10.700,00:00:10.800,10.7     ,10.8   ,0.9128386 ,eIhGAa6PW98
northeastern  ,00:00:10.800,00:00:11.400,10.8     ,11.4   ,0.9128386 ,eIhGAa6PW98
coast         ,00:00:11.400,00:00:11.700,11.4     ,11.7   ,0.9128386 ,eIhGAa6PW98
and           ,00:00:11.700,00:00:11.800,11.7     ,11.8   ,0.9128386 ,eIhGAa6PW98
headed        ,00:00:11.800,00:00:12.100,11.8     ,12.1   ,0.9128386 ,eIhGAa6PW98
out           ,00:00:12.100,00:00:12.200,12.1     ,12.2   ,0.9128386 ,eIhGAa6PW98
to            ,00:00:12.200,00:00:12.300,12.2     ,12.3   ,0.9128386 ,eIhGAa6PW98
the           ,00:00:12.300,00:00:12.400,12.3     ,12.4   ,0.9128386 ,eIhGAa6PW98
Pacific       ,00:00:12.400,00:00:12.900,12.4     ,12.9   ,0.9128386 ,eIhGAa6PW98
"Ocean,"      ,00:00:12.900,00:00:13.400,12.9     ,13.4   ,0.9128386 ,eIhGAa6PW98
hundreds      ,00:00:13.700,00:00:14.200,13.7     ,14.2   ,0.9128386 ,eIhGAa6PW98
of            ,00:00:14.200,00:00:14.400,14.2     ,14.4   ,0.9128386 ,eIhGAa6PW98
thousands     ,00:00:14.400,00:00:14.800,14.4     ,14.8   ,0.9128386 ,eIhGAa6PW98
of            ,00:00:14.800,00:00:14.900,14.8     ,14.9   ,0.9128386 ,eIhGAa6PW98
homes         ,00:00:14.900,00:00:15.300,14.9     ,15.3   ,0.9128386 ,eIhGAa6PW98
are           ,00:00:15.300,00:00:15.400,15.3     ,15.4   ,0.9128386 ,eIhGAa6PW98
without       ,00:00:15.400,00:00:15.900,15.4     ,15.9   ,0.9128386 ,eIhGAa6PW98
power.        ,00:00:15.900,00:00:16.500,15.9     ,16.5   ,0.9128386 ,eIhGAa6PW98
And           ,00:00:16.600,00:00:16.700,16.6     ,16.7   ,0.9128386 ,eIhGAa6PW98
