id         ,object_id,object_name                      ,time_seconds,left         ,top           ,right      ,bottom
c2B1ghS1fOE,8e0ef566 ,person                           ,0.0         ,0.15605639   ,0.19808525    ,0.3805544  ,0.97281104
c2B1ghS1fOE,8e0ef566 ,person                           ,0.12        ,0.15702978   ,0.19861029    ,0.38124895 ,0.97222316
c2B1ghS1fOE,8e0ef566 ,person                           ,0.24        ,0.15703245   ,0.19996181    ,0.38125122 ,0.9735731
c2B1ghS1fOE,8e0ef566 ,person                           ,0.36        ,0.1558166    ,0.19459422    ,0.38143414 ,0.9732934
c2B1ghS1fOE,8e0ef566 ,person                           ,0.48        ,0.15554495   ,0.193247      ,0.38058937 ,0.9710911
c2B1ghS1fOE,8e0ef566 ,person                           ,0.6         ,0.15534933   ,0.19260706    ,0.3803525  ,0.9703896
c2B1ghS1fOE,8e0ef566 ,person                           ,0.72        ,0.15693599   ,0.19452427    ,0.37897247 ,0.9698506
c2B1ghS1fOE,8e0ef566 ,person                           ,0.84        ,0.15708847   ,0.19523026    ,0.37824982 ,0.97025365
c2B1ghS1fOE,8e0ef566 ,person                           ,0.96        ,0.15698226   ,0.19561507    ,0.37808084 ,0.9706167
c2B1ghS1fOE,8e0ef566 ,person                           ,1.08        ,0.15712658   ,0.19152714    ,0.37704617 ,0.99087256
c2B1ghS1fOE,8e0ef566 ,person                           ,1.2         ,0.1574704    ,0.19545561    ,0.37702978 ,0.99540824
c2B1ghS1fOE,8e0ef566 ,person                           ,1.32        ,0.15764095   ,0.19808926    ,0.3771742  ,0.99808586
c2B1ghS1fOE,8e0ef566 ,person                           ,1.44        ,0.15624149   ,0.19899598    ,0.37888217 ,0.98076224
c2B1ghS1fOE,8e0ef566 ,person                           ,1.56        ,0.15675059   ,0.19426809    ,0.37940574 ,0.9736202
c2B1ghS1fOE,8e0ef566 ,person                           ,1.68        ,0.15655622   ,0.19214532    ,0.37921238 ,0.9713253
c2B1ghS1fOE,8e0ef566 ,person                           ,1.8         ,0.15434042   ,0.19421676    ,0.38049233 ,0.9713148
c2B1ghS1fOE,8e0ef566 ,person                           ,1.92        ,0.15407316   ,0.19565184    ,0.37988102 ,0.9720916
c2B1ghS1fOE,8e0ef566 ,person                           ,2.04        ,0.15386213   ,0.19735675    ,0.3796453  ,0.9737493
c2B1ghS1fOE,8e0ef566 ,person                           ,2.16        ,0.15153468   ,0.19128269    ,0.38213235 ,0.9906398
c2B1ghS1fOE,8e0ef566 ,person                           ,2.28        ,0.15152729   ,0.19334613    ,0.38200536 ,0.9932996
c2B1ghS1fOE,8e0ef566 ,person                           ,2.4         ,0.1519766    ,0.19503476    ,0.38244602 ,0.9950314
c2B1ghS1fOE,8e0ef566 ,person                           ,2.52        ,0.1529948    ,0.19284728    ,0.37964797 ,0.97816634
c2B1ghS1fOE,8e0ef566 ,person                           ,2.64        ,0.1530919    ,0.18790998    ,0.3789354  ,0.9713851
c2B1ghS1fOE,8e0ef566 ,person                           ,2.76        ,0.15346874   ,0.1851616     ,0.37925446 ,0.96850514
c2B1ghS1fOE,8e0ef566 ,person                           ,2.88        ,0.1483374    ,0.18087064    ,0.38701928 ,0.98168284
c2B1ghS1fOE,8e0ef566 ,person                           ,3.0         ,0.14856587   ,0.18382472    ,0.3876009  ,0.9851719
c2B1ghS1fOE,8e0ef566 ,person                           ,3.12        ,0.14868587   ,0.18574044    ,0.3877464  ,0.98712635
c2B1ghS1fOE,8e0ef566 ,person                           ,3.24        ,0.15079017   ,0.19075301    ,0.3819071  ,0.9750254
c2B1ghS1fOE,8e0ef566 ,person                           ,3.36        ,0.15063979   ,0.18889159    ,0.38115478 ,0.97100216
c2B1ghS1fOE,8e0ef566 ,person                           ,3.48        ,0.150512     ,0.18742193    ,0.38098407 ,0.9693783
c2B1ghS1fOE,8e0ef566 ,person                           ,3.6         ,0.1500323    ,0.18096466    ,0.3778084  ,0.98622924
c2B1ghS1fOE,8e0ef566 ,person                           ,3.72        ,0.14920907   ,0.1842592     ,0.3765841  ,0.9910821
c2B1ghS1fOE,8e0ef566 ,person                           ,3.84        ,0.14880557   ,0.186386      ,0.37615156 ,0.9933217
c2B1ghS1fOE,8e0ef566 ,person                           ,3.96        ,0.14915684   ,0.1932066     ,0.3741294  ,0.98420286
c2B1ghS1fOE,8e0ef566 ,person                           ,4.08        ,0.14900553   ,0.19293825    ,0.3732781  ,0.9819776
c2B1ghS1fOE,8e0ef566 ,person                           ,4.2         ,0.14887865   ,0.1921667     ,0.37310126 ,0.98106635
c2B1ghS1fOE,8e0ef566 ,person                           ,4.32        ,0.14903738   ,0.18408762    ,0.3741479  ,0.98014474
c2B1ghS1fOE,8e0ef566 ,person                           ,4.44        ,0.14963591   ,0.18112832    ,0.37464386 ,0.97697777
c2B1ghS1fOE,8e0ef566 ,person                           ,4.56        ,0.14995645   ,0.17974661    ,0.37495703 ,0.9755811
c2B1ghS1fOE,8e0ef566 ,person                           ,4.68        ,0.14925697   ,0.18700981    ,0.37605342 ,0.9746839
c2B1ghS1fOE,8e0ef566 ,person                           ,4.8         ,0.14936903   ,0.18933445    ,0.37594828 ,0.97555745
c2B1ghS1fOE,8e0ef566 ,person                           ,4.92        ,0.1493369    ,0.1910901     ,0.37590063 ,0.97720927
c2B1ghS1fOE,8e0ef566 ,person                           ,5.04        ,0.14971496   ,0.18529323    ,0.37852442 ,0.9779091
c2B1ghS1fOE,8e0ef566 ,person                           ,5.16        ,0.15061434   ,0.18387708    ,0.37951362 ,0.97690094
c2B1ghS1fOE,8e0ef566 ,person                           ,5.28        ,0.1510372    ,0.18323292    ,0.37994295 ,0.9762862
c2B1ghS1fOE,8e0ef566 ,person                           ,5.4         ,0.15173748   ,0.17740993    ,0.38053596 ,0.9789701
c2B1ghS1fOE,8e0ef566 ,person                           ,5.52        ,0.15200807   ,0.1772124     ,0.38018155 ,0.9786136
c2B1ghS1fOE,8e0ef566 ,person                           ,5.64        ,0.15188734   ,0.17725676    ,0.38001585 ,0.9786465
c2B1ghS1fOE,8e0ef566 ,person                           ,5.76        ,0.150954     ,0.1782788     ,0.38146883 ,0.9758326
c2B1ghS1fOE,8e0ef566 ,person                           ,5.88        ,0.15093197   ,0.17778699    ,0.38140404 ,0.975033
