id         ,word              ,start       ,end         ,start_sec,end_sec,confidence
c2B1ghS1fOE,"Next,"           ,00:00:00.200,00:00:00.600,0.2      ,0.6    ,0.9128386
c2B1ghS1fOE,we                ,00:00:00.600,00:00:00.600,0.6      ,0.6    ,0.9128386
c2B1ghS1fOE,turn              ,00:00:00.600,00:00:00.900,0.6      ,0.9    ,0.9128386
c2B1ghS1fOE,to                ,00:00:00.900,00:00:01.400,0.9      ,1.4    ,0.9128386
c2B1ghS1fOE,Haiti             ,00:00:01.400,00:00:01.800,1.4      ,1.8    ,0.9128386
c2B1ghS1fOE,where             ,00:00:01.800,00:00:02.000,1.8      ,2.0    ,0.9128386
c2B1ghS1fOE,senior            ,00:00:02.000,00:00:02.400,2.0      ,2.4    ,0.9128386
c2B1ghS1fOE,leaders           ,00:00:02.400,00:00:02.800,2.4      ,2.8    ,0.9128386
c2B1ghS1fOE,are               ,00:00:02.800,00:00:02.900,2.8      ,2.9    ,0.9128386
c2B1ghS1fOE,calling           ,00:00:02.900,00:00:03.200,2.9      ,3.2    ,0.9128386
c2B1ghS1fOE,for               ,00:00:03.200,00:00:03.300,3.2      ,3.3    ,0.9128386
c2B1ghS1fOE,"calm,"           ,00:00:03.300,00:00:03.700,3.3      ,3.7    ,0.9128386
c2B1ghS1fOE,after             ,00:00:03.700,00:00:04.000,3.7      ,4.0    ,0.9128386
c2B1ghS1fOE,days              ,00:00:04.000,00:00:04.500,4.0      ,4.5    ,0.9128386
c2B1ghS1fOE,of                ,00:00:04.500,00:00:04.700,4.5      ,4.7    ,0.9128386
c2B1ghS1fOE,violent           ,00:00:04.700,00:00:05.300,4.7      ,5.3    ,0.9128386
c2B1ghS1fOE,anti-government   ,00:00:05.300,00:00:06.100,5.3      ,6.1    ,0.9128386
c2B1ghS1fOE,protests          ,00:00:06.100,00:00:06.800,6.1      ,6.8    ,0.7286029
c2B1ghS1fOE,the               ,00:00:07.100,00:00:07.200,7.1      ,7.2    ,0.9128386
c2B1ghS1fOE,UN                ,00:00:07.200,00:00:07.400,7.2      ,7.4    ,0.9128386
c2B1ghS1fOE,secretary-general ,00:00:07.400,00:00:08.200,7.4      ,8.2    ,0.5592511
c2B1ghS1fOE,Antonio           ,00:00:08.200,00:00:08.600,8.2      ,8.6    ,0.7831365
c2B1ghS1fOE,guterres          ,00:00:08.600,00:00:09.100,8.6      ,9.1    ,0.9128386
c2B1ghS1fOE,says              ,00:00:09.100,00:00:09.300,9.1      ,9.3    ,0.7917537
c2B1ghS1fOE,he's              ,00:00:09.300,00:00:09.700,9.3      ,9.7    ,0.74005425
c2B1ghS1fOE,deeply            ,00:00:09.700,00:00:10.100,9.7      ,10.1   ,0.69241965
c2B1ghS1fOE,concerned         ,00:00:10.100,00:00:10.800,10.1     ,10.8   ,0.5620756
c2B1ghS1fOE,and               ,00:00:11.200,00:00:11.500,11.2     ,11.5   ,0.63519114
c2B1ghS1fOE,this              ,00:00:11.500,00:00:11.700,11.5     ,11.7   ,0.72116673
c2B1ghS1fOE,unrest            ,00:00:11.700,00:00:12.300,11.7     ,12.3   ,0.7784845
c2B1ghS1fOE,we                ,00:00:12.300,00:00:12.400,12.3     ,12.4   ,0.9128386
c2B1ghS1fOE,know              ,00:00:12.400,00:00:12.800,12.4     ,12.8   ,0.7078476
c2B1ghS1fOE,has               ,00:00:12.800,00:00:13.300,12.8     ,13.3   ,0.90560305
c2B1ghS1fOE,had               ,00:00:13.300,00:00:13.500,13.3     ,13.5   ,0.9128386
c2B1ghS1fOE,a                 ,00:00:13.500,00:00:13.600,13.5     ,13.6   ,0.6924197
